Rep. Randy Weber|@TXRandy14
Rep. Dave Reichert|@davereichert
Rep. Emanuel Cleaver II|@repcleaver
Rep. Yvette Clarke|@YvetteClarke
Rep. Jeff Fortenberry|@JeffFortenberry
Rep. Charles Boustany Jr.|@RepBoustany
Sen. Deb Fischer|@SenatorFischer
Rep. Jackie Walorski|@RepWalorski
Rep. Jerry McNerney|@RepMcNerney
Rep. Daniel Webster|@RepWebster
Rep. G.K. Butterfield|@GKButterfield
Rep. Steven Horsford|@RepHorsford
Rep. Joe Heck|@RepJoeHeck
Sen. Kelly Ayotte|@KellyAyotte
Rep. Kyrsten Sinema|@RepSinema
Rep. Ann Kirkpatrick|@RepKirkpatrick
Rep. Derek Kilmer|@RepDerekKilmer
Rep. Michael Fitzpatrick|@RepFitzpatrick
Rep. Daniel Lipinski|@RepLipinski
Rep. Kevin Cramer|@RepKevinCramer
Rep. Doris Matsui|@DorisMatsui
Rep. Roger Williams|@RogerWilliamsTX
Rep. Scott Tipton|@RepTipton
Sen. Bob Corker|@SenBobCorker
Rep. Tim Walz|@Tim_Walz
Rep. Vern Buchanan|@VernBuchanan
Sen. Amy Klobuchar|@amyklobuchar
Rep. Bruce Braley|@BruceBraley
Rep. Scott Perry|@RepScottPerry
Rep. Suzanne Bonamici|@RepBonamici
Rep. Jared Huffman|@RepHuffman
Rep. Julia Brownley|@JuliaBrownley
Rep. Paul Cook|@RepPaulCook
Rep. Marsha Blackburn|@MarshaBlackburn
Rep. Jason Smith|@RepJasonSmith
Rep. Raul Labrador|@Raul_Labrador
Rep. Mick Mulvaney|@RepMickMulvaney
Rep. Kristi Noem|@RepKristiNoem
Sen. Richard Shelby|@SenShelby
Rep. Mike Rogers|@RepMikeRogersAL
Rep. Grace Meng|@RepGraceMeng
Rep. Jaime Herrera Beutler|@HerreraBeutler
Rep. Corrine Brown|@RepCorrineBrown
Rep. Cheri Bustos|@RepCheri
Sen. Elizabeth Warren|@elizabethforma
Rep. Susan Brooks|@SusanWBrooks
Rep. Brad Schneider|@RepSchneider
Rep. Markwayne Mullin|@RepMullin
Rep. Patrick Murphy|@PatrickMurphyFL
Rep. Jim Bridenstine|@RepJBridenstine
Rep. Tom Cotton|@TomCottonAR
Rep. Tulsi Gabbard|@TulsiPress
Rep. George Holding|@RepHolding
Rep. Richard Hudson|@RepRichHudson
Rep. Dan Kildee|@RepDanKildee
Rep. Mark Meadows|@RepMarkMeadows
Rep. Rick Nolan|@USRepRickNolan
Rep. Beto O'Rourke|@BetoORourke
Rep. Scott Peters|@ScottPetersSD
Rep. Eric Swalwell|@RepSwalwell
Rep. Mark Takano|@RepMarkTakano
Rep. Ann Wagner|@RepAnnWagner
Rep. Brad Wenstrup|@bradwenstrup
Rep. John Delaney|@RepJohnDelaney
Rep. Ileana Ros-Lehtinen|@RosLehtinen
Rep. Matt Cartwright|@RepCartwright
Rep. Chris Stewart|@RepChrisStewart
Rep. Joseph Kennedy III|@RepJoeKennedy
Rep. Jack Kingston|@JackKingston
Rep. Sanford Bishop Jr.|@SanfordBishop
Sen. John McCain|@SenJohnMcCain
Rep. John Lewis|@repjohnlewis
Rep. Susan Davis|@RepSusanDavis
Rep. Tom McClintock|@RepMcClintock
Rep. Tony Cardenas|@GoCardenas
Sen. Saxby Chambliss|@SaxbyChambliss
Rep. Adam Schiff|@RepAdamSchiff
Rep. Jim Costa|@RepJimCosta
Sen. Lamar Alexander|@SenAlexander
Rep. Andre Carson|@RepAndreCarson
Rep. Gerald Connolly|@GerryConnolly
Rep. Joe Garcia|@JoeGarcia
Rep. Michael Honda|@RepMikeHonda
Sen. Michael Crapo|@MikeCrapo
Rep. Mike Simpson|@CongMikeSimpson
Sen. Richard Durbin|@SenatorDurbin
Rep. John Fleming|@RepFleming
Rep. Bobby Rush|@RepBobbyRush
Rep. Ed Perlmutter|@RepPerlmutter
Rep. Matt Salmon|@RepMattSalmon
Res. Com. Pedro Pierluisi|@pedropierluisi
Rep. Luis Gutierrez|@LuisGutierrez
Rep. Danny Davis|@RepDannyDavis
Rep. Jan Schakowsky|@janschakowsky
Rep. Ed Pastor|@RepEdPastor
Rep. Steve Daines|@SteveDaines
Sen. Tim Scott|@SenatorTimScott
Rep. John Shimkus|@RepShimkus
Sen. Mark Begich|@SenatorBegich
Rep. Peter Visclosky|@RepVisclosky
Rep. Richard Hanna|@RepRichardHanna
Rep. Bill Posey|@congbillposey
Rep. Elizabeth Esty|@RepEsty
Rep. Debbie Wasserman Schultz|@DWStweets
Rep. Mario Diaz-Balart|@MarioDB
Sen. Charles Grassley|@SenatorCharles
Sen. Tom Harkin|@SenatorHarkin
Rep. Tom Latham|@TomLatham
Rep. Lois Frankel|@RepLoisFrankel
Sen. Pat Roberts|@SenPatRoberts
Rep. Lynn Westmoreland|@RepWestmoreland
Sen. Jerry Moran|@JerryMoran
Rep. Tom Price|@RepTomPrice
Rep. David Scott|@repdavidscott
Sen. Mitch McConnell|@McConnellPress
Rep. Edward Whitfield|@RepEdWhitfield
Rep. Marcia Fudge|@RepMarciaFudge
Del. Gregorio Sablan|@Congress
Sen. Michael Bennet|@SenBennetCO
Rep. Mike Quigley|@RepMikeQuigley
Rep. Austin Scott|@AustinScottGA08
Rep. Harold Rogers|@RepHalRogers
Sen. Cory Booker|@CoryBooker
Sen. Jeff Sessions|@SenatorSessions
Sen. Mary Landrieu|@SenLandrieu
Sen. Susan Collins|@SenatorCollins
Sen. Barbara Mikulski|@SenatorBarb
Sen. Benjamin Cardin|@SenatorCardin
Rep. Steve King|@SteveKingIA
Rep. Steny Hoyer|@WhipHoyer
Rep. Richard Neal|@RepRichardNeal
Rep. Jim McGovern|@RepMcGovern
Rep. John Campbell|@RepJohnCampbell
Rep. Juan Vargas|@RepJuanVargas
Rep. Bob Latta|@boblatta
Rep. Bob Gibbs|@RepBobGibbs
Rep. John Tierney|@RepTierney
Sen. Edward Markey|@MarkeyMemo
Rep. Tim Ryan|@TimRyan
Rep. Michael Capuano|@mikecapuano
Sen. Jim Risch|@SenatorRisch
Rep. Glenn Thompson|@GlennThompson
Sen. Carl Levin|@SenCarlLevin
Rep. Peter Roskam|@PeterRoskam
Rep. Dave Camp|@RepDaveCamp
Sen. Mark Pryor|@SenMarkPryor
Rep. Mike Coffman|@RepMikeCoffman
Sen. Richard Blumenthal|@SenBlumenthal
Sen. Mazie Hirono|@maziehirono
Rep. Candice Miller|@CandiceMiller
Sen. Claire McCaskill|@clairecmc
Sen. Heidi Heitkamp|@SenatorHeitkamp
Sen. Dean Heller|@SenDeanHeller
Sen. Sheldon Whitehouse|@SenWhitehouse
Sen. John Cornyn|@JohnCornyn
Rep. Fred Upton|@RepFredUpton
Rep. Cynthia Lummis|@CynthiaLummis
President Barack Obama|@BarackObama
Sen. Debbie Stabenow|@stabenow
Rep. Sander Levin|@repsandylevin
Rep. John Conyers Jr.|@repjohnconyers
Rep. John Dingell|@john_dingell
Sen. John Hoeven|@SenJohnHoeven
Sen. Thad Cochran|@SenThadCochran
Sen. Marco Rubio|@marcorubio
Sen. Roger Wicker|@SenatorWicker
Rep. Bennie Thompson|@BennieGThompson
Sen. Dianne Feinstein|@SenFeinstein
Sen. Roy Blunt|@RoyBlunt
Sen. Barbara Boxer|@SenatorBoxer
Rep. Hakeem Jeffries|@RepJeffries
Sen. Max Baucus|@MaxBaucus
Rep. Tim Huelskamp|@CongHuelskamp
Rep. Michele Bachmann|@MicheleBachmann
Rep. Lee Terry|@LEETERRYNE
Rep. John Carney|@JohnCarneyDE
Rep. Mike Thompson|@RepThompson
Rep. Kathy Castor|@USRepKCastor
Sen. Harry Reid|@SenatorReid
Rep. Dennis Ross|@RepDennisRoss
Sen. Bob Casey|@SenBobCasey
Rep. Brian Higgins|@RepBrianHiggins
Rep. Brett Guthrie|@RepGuthrie
Rep. Frank LoBiondo|@RepLoBiondo
Rep. Christopher Smith|@RepChrisSmith
Rep. Frank Pallone Jr.|@FrankPallone
Rep. Bill Pascrell Jr.|@BillPascrell
Rep. Rodney Frelinghuysen|@USRepRodney
Rep. Thomas Massie|@RepThomasMassie
Rep. Rush Holt|@RushHolt
Sen. Robert Menendez|@SenatorMenendez
Rep. Steve Scalise|@SteveScalise
Sen. Tom Udall|@SenatorTomUdall
Rep. Donald Payne Jr.|@RepDonaldPayne
Sen. Mark Kirk|@SenatorKirk
Rep. Darrell Issa|@DarrellIssa
Sen. Charles Schumer|@ChuckSchumer
Rep. Stephen Lynch|@RepStephenLynch
Rep. Peter King|@RepPeteKing
Rep. Carolyn McCarthy|@RepMcCarthyNY
Rep. Gregory Meeks|@GregoryMeeks
Rep. Joseph Crowley|@repjoecrowley
Rep. Jerrold Nadler|@RepJerryNadler
Rep. Nydia Velazquez|@NydiaVelazquez
Rep. Ander Crenshaw|@AnderCrenshaw
Rep. Carolyn Maloney|@RepMaloney
Rep. Charles Rangel|@cbrangel
Rep. Jose Serrano|@RepJoseSerrano
Rep. Eliot Engel|@RepEliotEngel
Rep. Nita Lowey|@NitaLowey
Rep. Chris Van Hollen|@ChrisVanHollen
Rep. Louise Slaughter|@louiseslaughter
Rep. George Miller|@askgeorge
Rep. Jeff Denham|@RepJeffDenham
Rep. Gloria Negrete McLeod|@RepMcLeod
Rep. Walter Jones|@RepWalterJones
Rep. David Price|@RepDavidEPrice
Sen. Richard Burr|@SenatorBurr
Rep. Michael Michaud|@RepMikeMichaud
Rep. Howard Coble|@HowardCoble
Rep. Mike McIntyre|@RepMikeMcIntyre
Rep. Nancy Pelosi|@NancyPelosi
Rep. Mike Rogers|@RepMikeRogers
Rep. Barbara Lee|@RepBarbaraLee
Rep. Gary Peters|@RepGaryPeters
Rep. Steve Chabot|@RepSteveChabot
Sen. Rob Portman|@robportman
Rep. John Boehner|@SpeakerBoehner
Sen. Joe Manchin III|@Sen_JoeManchin
Rep. Marcy Kaptur|@RepMarcyKaptur
Rep. Tim Walberg|@RepWalberg
Rep. Steve Israel|@RepSteveIsrael
Rep. Erik Paulsen|@RepErikPaulsen
Sen. Sherrod Brown|@SenSherrodBrown
Sen. James Inhofe|@InhofePress
Rep. Betty McCollum|@BettyMcCollum04
Sen. Tom Coburn|@TomCoburn
Rep. Judy Chu|@RepJudyChu
Rep. Bill Shuster|@RepBillShuster
Rep. Frank Lucas|@FrankDLucas
Rep. Robert Hurt|@RepRobertHurt
Sen. Mark Warner|@MarkWarner
Sen. Tim Kaine|@timkaine
Sen. John Boozman|@JohnBoozman
Sen. Ron Wyden|@RonWyden
Rep. Peter Welch|@WelchForVT
Rep. Keith Ellison|@keithellison
Rep. Steve Stivers|@RepSteveStivers
Rep. Luke Messer|@RepLukeMesser
Rep. Greg Walden|@repgregwalden
Rep. Earl Blumenauer|@BlumenauerMedia
Rep. Peter DeFazio|@RepPeterDeFazio
Rep. Sam Graves|@Congress
Rep. Steven Palazzo|@CongPalazzo
Rep. Robert Brady|@RepBrady
Rep. Cory Gardner|@repcorygardner
Rep. Chaka Fattah|@chakafattah
Rep. Tammy Duckworth|@tammyduckworth
Rep. John Sarbanes|@RepJohnSarbanes
Rep. Alan Nunnelee|@RepAlanNunnelee
Rep. Carol Shea-Porter|@RepSheaPorter
Rep. Anna Eshoo|@RepAnnaEshoo
Rep. Hank Johnson|@RepHankJohnson
Sen. Kirsten Gillibrand|@SenGillibrand
Sen. Patrick Toomey|@SenToomey
Rep. Joe Pitts|@RepJoePitts
Rep. Dan Maffei|@RepDanMaffei
Rep. Phil Roe|@DrPhilRoe
Rep. Mike Doyle|@USRepMikeDoyle
Rep. Doug Collins|@RepDougCollins
Rep. Ted Deutch|@RepTedDeutch
Sen. Jack Reed|@SenJackReed
Rep. Raul Ruiz|@CongressmanRuiz
Sen. Jon Tester|@jontester
Rep. Mark Sanford Jr.|@RepSanfordSC
Sen. Lindsey Graham|@GrahamBlog
Rep. James Clyburn|@Clyburn
Rep. Steve Womack|@rep_stevewomack
Rep. Zoe Lofgren|@RepZoeLofgren
Sen. Tim Johnson|@SenJohnsonSD
Sen. John Thune|@SenJohnThune
Sen. Kay Hagan|@SenatorHagan
Rep. Kerry Bentivolio|@RepKerryB
Rep. John Duncan Jr.|@RepJohnDuncanJr
Rep. Filemon Vela|@RepFilemonVela
Rep. Sam Farr|@RepSamFarr
Rep. Doug Lamborn|@RepDLamborn
Rep. Sam Johnson|@SamsPressShop
Rep. Ralph Hall|@RalphHallPress
Rep. Pete Sessions|@PeteSessions
Rep. Joe Barton|@RepJoeBarton
Rep. Tom Rice|@RepTomRice
Rep. Kevin Brady|@RepKevinBrady
Rep. Chris Collins|@RepChrisCollins
Rep. Lloyd Doggett|@RepLloydDoggett
Rep. Ron Barber|@RepRonBarber
Rep. Ron DeSantis|@RepDeSantis
Rep. Virginia Foxx|@virginiafoxx
Rep. Kay Granger|@RepKayGranger
Rep. Mac Thornberry|@MacTXPress
Rep. Rodney Davis|@RodneyDavis
Rep. Ruben Hinojosa|@USRepRHinojosa
Rep. Sheila Jackson Lee|@JacksonLeeTX18
Rep. Lamar Smith|@LamarSmithTX21
Rep. Gene Green|@RepGeneGreen
Rep. Eddie Bernice Johnson|@RepEBJ
Rep. Bill Enyart|@RepBillEnyart
Sen. Orrin Hatch|@SenOrrinHatch
Sen. Patrick Leahy|@SenatorLeahy
Sen. Bernard Sanders|@SenSanders
Rep. Robert Scott|@repbobbyscott
Rep. David Joyce|@RepDaveJoyce
Rep. Mo Brooks|@RepMoBrooks
Rep. Donna Edwards|@repdonnaedwards
Rep. Alan Grayson|@AlanGrayson
Rep. Lois Capps|@RepLoisCapps
Rep. Robert Goodlatte|@RepGoodlatte
Rep. James Moran|@Jim_Moran
Rep. Sean Maloney|@RepSeanMaloney
Sen. Patty Murray|@PattyMurray
Rep. Dave Loebsack|@daveloebsack
Rep. Phil Gingrey|@RepPhilGingrey
Rep. Doc Hastings|@DocHastings
Rep. Paul Broun|@RepPaulBrounMD
Rep. Tom Rooney|@TomRooney
Sen. Martin Heinrich|@MartinHeinrich
Rep. Jim Himes|@jahimes
Rep. Niki Tsongas|@nikiinthehouse
Rep. Duncan Hunter|@Rep_Hunter
Rep. Jared Polis|@RepJaredPolis
Rep. Bill Foster|@RepBillFoster
Sen. Al Franken|@alfranken
Rep. Gregg Harper|@GreggHarper
Rep. David Schweikert|@RepDavid
Rep. Pete Olson|@OlsonPressShop
Rep. Jim McDermott|@RepJimMcDermott
Rep. Bill Cassidy|@BillCassidy
Rep. Adam Smith|@RepAdamSmith
Rep. Jason Chaffetz|@jasoninthehouse
Rep. Michelle Lujan Grisham|@RepLujanGrisham
Sen. Jay Rockefeller|@SenRockefeller
Rep. Ben Lujan|@repbenraylujan
Rep. Brad Sherman|@BradSherman
Rep. Nick Rahall II|@HouseTransInf
Rep. Mark Amodei|@MarkAmodeiNV2
Rep. Paul Ryan|@RepPaulRyan
Sen. Tammy Baldwin|@SenatorBaldwin
Rep. Ron Kind|@RepRonKind
Sen. Jeff Merkley|@SenJeffMerkley
Rep. Jim Sensenbrenner|@JimPressOffice
Sen. Michael Enzi|@SenatorEnzi
Del. Eleanor Norton|@EleanorNorton
Rep. Mike Kelly|@MikeKellyPA
Del. Donna Christensen|@DelegateDonna
Rep. Leonard Lance|@RepLanceNJ7
Rep. Henry Waxman|@WaxmanClimate
Rep. Scott Garrett|@RepGarrett
Rep. Xavier Becerra|@RepBecerra
Rep. Robert Aderholt|@Robert_Aderholt
Rep. David Valadao|@dgvaladao
Rep. Lucille Roybal-Allard|@RepRoybalAllard
Rep. Grace Napolitano|@gracenapolitano
Rep. Maxine Waters|@MaxineWaters
Sen. Dan Coats|@SenDanCoats
Rep. Steve Pearce|@RepStevePearce
Rep. Ed Royce|@RepEdRoyce
Rep. Gary Miller|@RepGaryMiller
Rep. Ken Calvert|@KenCalvert
Rep. Dana Rohrabacher|@DanaRohrabacher
Rep. Loretta Sanchez|@LorettaSanchez
Rep. Spencer Bachus|@BachusAL06
Rep. Dina Titus|@dinatitus
Rep. Diana DeGette|@RepDianaDeGette
Sen. Mark Udall|@MarkUdall
Rep. Paul Tonko|@paultonko
Rep. John Larson|@RepJohnLarson
Rep. Rosa DeLauro|@rosadelauro
Sen. Johnny Isakson|@SenatorIsakson
Sen. David Vitter|@DavidVitter
Rep. Jim Jordan|@Jim_Jordan
Rep. Pat Tiberi|@TiberiPress
Rep. Kurt Schrader|@RepSchrader
Rep. Tim Murphy|@RepTimMurphy
Rep. Joyce Beatty|@RepBeatty
Rep. Jim Gerlach|@JimGerlach
Rep. Allyson Schwartz|@allysonschwartz 
Rep. David Cicilline|@RepCicilline
Sen. Christopher Murphy|@ChrisMurphyCT
Rep. Joe Wilson|@RepJoeWilson
Rep. Justin Amash|@repjustinamash
Sen. Lisa Murkowski|@lisamurkowski
Rep. Jackie Speier|@RepSpeier
Rep. Steve Cohen|@RepCohen
Rep. Kenny Marchant|@RepKenMarchant
Rep. Pete Gallego|@RepPeteGallego
Rep. John Culberson|@CongCulberson
Rep. Henry Cuellar|@RepCuellar
Rep. Alan Lowenthal|@RepLowenthal
Rep. Eric Cantor|@GOPLeader
Rep. J. Randy Forbes|@Randy_Forbes
Rep. Morgan Griffith|@RepMGriffith
Rep. Steve Stockman|@DonnyFerguson
Rep. Mark Pocan|@repmarkpocan
Rep. Cathy McMorris Rodgers|@cathymcmorris
Rep. Gwen Moore|@RepGwenMoore
Rep. Diane Black|@RepDianeBlack
Sen. Thomas Carper|@SenatorCarper
Sen. Angus King Jr.|@SenAngusKing
Sen. Mike Johanns|@Mike_Johanns
Sen. Jeanne Shaheen|@SenatorShaheen
Rep. Ted Yoho|@RepTedYoho
Rep. Todd Young|@RepToddYoung
Rep. Rob Wittman |@RobWittman
Rep. Frank Wolf |@RepWOLFPress
Rep. John Yarmuth|@RepJohnYarmuth
Rep. Rep. Don Young|@repdonyoung
Rep. Kevin Yoder|@RepKevinYoder
Rep. Dina Titus|dinatitus
Rep. Katherine Clark|@KClarkCongress
Rep. Vance McAllister|@RepMcAllister
Rep. Bradley Byrne|@RepByrne 
Rep. David Jolly|@DavidJollyCD13
Rep. Albio Sires|@RepSires
Rep. Sam Graves|@SmallBizGOP
